Object_Type,Name,Latitude,Longitude
Bike Rack,Bike Rack on FROME RD ASC (1233); it's a Steel Slot type,138.6068459,-34.91840709
Bike Rack,Bike Rack on FROME RD ASC (1233); it's a Steel Slot type,138.6068641,-34.91840072
Bike Rack,Bike Rack on FROME RD ASC (1233); it's a Steel Slot type,138.6067824,-34.91849904
Bike Rack,Bike Rack on FROME RD ASC (1233); it's a U Shape type,138.6068775,-34.91859848
Bike Rack,Bike Rack on FROME RD ASC (1233); it's a U Shape type,138.606906,-34.91891705
Bike Rack,Bike Rack on FROME RD ASC (1233); it's a U Shape type,138.6069299,-34.91896716
Bike Rack,Bike Rack on FROME RD ASC (1233); it's a U Shape type,138.6071843,-34.919537
Bike Rack,Bike Rack on FROME RD ASC (1233); it's a U Shape type,138.6073899,-34.9199852
Bike Rack,Bike Rack on BOTANIC RD (1143); it's a U Shape type,138.614449,-34.91843711
Bike Rack,Bike Rack on PARK 21 - WALYU YARTA (5211); it's a U Shape type,138.6000543,-34.93577716
Bike Rack,Bike Rack on CHARLES ST (1168); it's a U Shape type,138.6034884,-34.92264743
Bike Rack,Bike Rack on PULTENEY ST (1400); it's a U Shape type,138.6054485,-34.92288023
Bike Rack,Bike Rack on GRENFELL ST ASC (2019); it's a U Shape type,138.6043095,-34.92425474
Bike Rack,Bike Rack on GRENFELL ST DSC (1257); it's a U Shape type,138.6035326,-34.92408421
Bike Rack,Bike Rack on GRENFELL ST ASC (2019); it's a U Shape type,138.6021911,-34.9243566
Bike Rack,Bike Rack on GRENFELL ST DSC (1257); it's a Steel Rail type,138.6014266,-34.92418001
Bike Rack,Bike Rack on EXCHANGE PL (1217); it's a U Shape type,138.6005742,-34.92514542
Bike Rack,Bike Rack on CBS ST (1588); it's a Steel Slot type,138.600236,-34.92486912
Bike Rack,Bike Rack on NORTH TCE ASC (2003); it's a U Shape type,138.5955045,-34.92188097
Bike Rack,Bike Rack on BANK ST (1127); it's a Circular type,138.5975237,-34.92186767
Bike Rack,Bike Rack on NORTH TCE DSC (1364); it's a U Shape type,138.5982571,-34.92145513
Bike Rack,Bike Rack on HUTT ST (1286); it's a Steel Rail type,138.6116374,-34.92543003
Bike Rack,Bike Rack on PIRIE ST (1385); it's a U Shape type,138.6109676,-34.92527023
Bike Rack,Bike Rack on PIRIE ST (1385); it's a U Shape type,138.610038,-34.92531543
Bike Rack,Bike Rack on PIRIE ST (1385); it's a Steel Rail type,138.6088547,-34.92537345
